"Minimum LintelThickness, mm","Minimum Lintel Depth,mm","Maximum Clear Span, m",,,
"",,Supporting Light-Frame Roof Only,Supporting ICF Second Storey and Light-Frame Roof,,
"",,"Maximum Ground Snow Load, kN/m2",,,
"",,1.50,3.33,1.50,3.33
140,200,1.41,1.18,1.03,0.93
"",300,1.78,1.50,1.30,1.18
"",400,2.08,1.75,1.53,1.38
"",500,2.33,1.97,1.72,1.56
"",600,2.55,2.16,1.89,1.71
150,200,1.41,1.18,1.02,0.92
"",300,1.78,1.50,1.29,1.17
"",400,2.08,1.75,1.51,1.37
"",500,2.33,1.97,1.70,1.54
"",600,2.54,2.15,1.87,1.70
160,200,1.41,1.18,1.01,0.91
"",300,1.78,1.50,1.28,1.16
"",400,2.07,1.75,1.50,1.36
"",500,2.32,1.96,1.68,1.53
"",600,2.53,2.15,1.85,1.68
190,200,1.41,1.19,0.98,0.89
"",300,1.78,1.50,1.24,1.13
"",400,2.06,1.74,1.45,1.32
"",500,2.30,1.95,1.63,1.49
"",600,2.51,2.13,1.78,1.63
200,200,1.41,1.19,0.97,0.89
300,1.77,1.49,1.23,1.12,
400,2.06,1.74,1.43,1.31,
500,2.30,1.95,1.61,1.48,
600,2.50,2.13,1.77,1.62,
"",,"Maximum Clear Span, m"
Minimum Lintel,"Minimum Lintel Depth,",Supporting Light-Frame Roof Only Supporting ICF Second Storey and Light-Frame Roof
"Thickness, mm",mm,"Maximum Ground Snow Load, kN/m2"
"",,1.50 3.33 1.50 3.33
"",200,1.41 1.19 0.94 0.86
"",300,1.76 1.49 1.18 1.09
240,400,2.04 1.73 1.38 1.27
"",500,2.27 1.93 1.55 1.43
"",600,2.47 2.11 1.70 1.56
"",,"Maximum Clear Span, m"
Minimum Lintel,"Minimum Lintel Depth,",Supporting Light-Frame Roof Only Supporting ICF Second Storey and Light-Frame Roof
"Thickness, mm",mm,"Maximum Ground Snow Load, kN/m2"
"",,1.50 3.33 1.50 3.33
"",200,1.63 1.46 1.31 1.23
"",300,2.43 2.08 1.81 1.64
140,400,2.90 2.44 2.13 1.93
"",500,3.26 2.75 2.41 2.18
"",600,3.58 3.03 2.65 2.4
"",200,1.67 1.49 1.33 1.25
"",300,2.48 2.08 1.79 1.62
150,400,2.90 2.44 2.11 1.91
"",500,3.26 2.75 2.38 2.16
"",600,3.57 3.02 2.62 2.38
"",200,1.70 1.53 1.35 1.26
"",300,2.48 2.08 1.78 1.61
160,400,2.90 2.44 2.09 1.90
